你	ni3
爽	shuang3
疤	ba1
灎	ba5
太	tai4
但	dan4
齃	pao3
袍	pao2
砗	che1
疽	ju1
蹭	ceng4
我	wo3
跟	gen1
进	jin4
口	kou3
龙	long2
球	qiu2
鞋	xie2
蟀	shuai4
虑	lv4
虐	nve4
而	er2
非	fei1
秓	zhi1
纸	zhi3
禾	he2
鹤	he4
活	huo2
藿	huo4
弧	hu2
麻	ma2
码	ma3
爩	ma5
亚	ya4
灪	za3
啧	ze2
渣	zha1
瞰	kan4
一	yi1
下	xia4
吧	ba1
冹	fa1
消	xiao1
息	xi1
就	jiu4
郝	hao3
也	ye3
加	jia1
岢	ke3
以	yi3
羽	yu3
音	yin1
唤	huan4
醒	xing3
维	wei2
测	ce4
敺	qu4
霢	mai3
大	da4
米	mi3
津	jin1
例	li4
科	ke1
激	ji1
普	pu3
路	lu4
潺	chan4
业	ye4
殴	ou1
可	ke3
荐	jian4
氛	fen4
裹	guo3
外	wai4
逆	ni4
朴	piao2
忝	tian3
瓦	wa3
轡	pei4
笨	ben4
猫	mao1
他	ta1
叻	le4
莱	lai2
寇	kou4
卡	ka3
璟	jing3
鷇	kou4
令	ling4
咖	ka1
宥	you4
阳	yang2
俊	jun4
奎	kui2
面	mian4
牖	you3
用	yong4
汶	wen4
仄	ze4
后	hou4
觑	qu4
俐	li4
艄	shao2
